strain	subject acc.ver	subject title	species	genotype	E	P	H	F	date	year	location	GeoNames.country_code	GeoNames.admin1_code	GeoNames.admin2_code	GeoNames.admin3_code	GeoNames.admin4_code	GeoNames.geonameid	GeoNames.name	GeoNames.latitude	GeoNames.longitude	GeoNames.feature_code	GeoNames.modification_date
MH355567.1	MH355567.1	Human adenovirus 7 strain BJ/CHN/2018, complete genome	B	66	7	66	7	7	2018-01-01	2018	CN.00	CN	00	?	?	?	1814991	People’s Republic of China	35	105	PCLI	2020-07-28
MH465394.1	MH465394.1	Human adenovirus 41 isolate Anhui/2018, complete genome	F	41	41	41	41	41	2017-12-30	2017	CN.00	CN	00	?	?	?	1814991	People’s Republic of China	35	105	PCLI	2020-07-28
MH499479.1	MH499479.1	Human mastadenovirus B isolate HAdV-B14/South Carolina_NHRC_75650_2017_P14H14F14, partial genome	B	14	14	14	14	14	2017-01-01	2017	US.SC	US	SC	?	?	?	4597040	South Carolina	34.00043	-81.00009	ADM1	2019-12-30
MH546113.1	MH546113.1	Human mastadenovirus B isolate 75657, complete genome	B	14	14	14	14	14	2017-07-13	2017	US.00	US	00	?	?	?	6252001	United States	39.76	-98.5	PCLI	2020-03-29
MH546114.1	MH546114.1	Human mastadenovirus B isolate 70536, complete genome	B	14	14	14	14	14	2017-07-25	2017	US.00	US	00	?	?	?	6252001	United States	39.76	-98.5	PCLI	2020-03-29
MH558113.1	MH558113.1	Human mastadenovirus C strain human/CHN/GD2467/2017/87'[P1H1F2], complete genome	C	104	104	1	1	2	2017-04-10	2017	CN.00	CN	00	?	?	?	1814991	People’s Republic of China	35	105	PCLI	2020-07-28
MH634393.1	MH634393.1	UNVERIFIED: Human adenovirus D8 isolate YN/7/2018, complete genome	D	8	8	8	8	8	?	?	CN.29	CN	29	?	?	?	1785694	Yunnan Sheng	25	101.5	ADM1	2016-05-16
MH668280.1	MH668280.1	Human mastadenovirus B isolate 75658, complete genome	B	14	14	14	14	14	2017-07-25	2017	US.00	US	00	?	?	?	6252001	United States	39.76	-98.5	PCLI	2020-03-29
MH668281.1	MH668281.1	Human mastadenovirus B isolate 75668, complete genome	B	14	14	14	14	14	2017-08-03	2017	US.00	US	00	?	?	?	6252001	United States	39.76	-98.5	PCLI	2020-03-29
MH669070.1	MH669070.1	Human mastadenovirus B isolate HAdV-B/USA_New_York/1550/2006/P14H14F14, complete genome	B	14	14	14	14	14	2006-05-14	2006	US.NY	US	NY	?	?	?	5128638	New York	43.00035	-75.4999	ADM1	2019-12-27
MH669071.1	MH669071.1	Human mastadenovirus B isolate HAdV-B/USA_Pennsylvania/VT5079/2009/P14H14F14, complete genome	B	14	14	14	14	14	2009-01-01	2009	US.PA	US	PA	?	?	?	6254927	Pennsylvania	40.8	-77.7	ADM1	2020-06-12
MH669072.1	MH669072.1	Human mastadenovirus B isolate HAdV-B/USA_Pennsylvania/VT7536/2009/P14H14F14, complete genome	B	14	14	14	14	14	2009-01-01	2009	US.PA	US	PA	?	?	?	6254927	Pennsylvania	40.8	-77.7	ADM1	2020-06-12
MH669073.1	MH669073.1	Human mastadenovirus B isolate HAdV-B/USA_Pennsylvania/VT7603/2009/P14H14F14, complete genome	B	14	14	14	14	14	2009-01-01	2009	US.PA	US	PA	?	?	?	6254927	Pennsylvania	40.8	-77.7	ADM1	2020-06-12
MH697600.1	MH697600.1	Human adenovirus 7 strain HAdV-B/USA_VA/5675/2017/P7H7F7, complete genome	B	66	7	66	7	7	2017-08-01	2017	US.VA	US	VA	?	?	?	6254928	Virginia	37.54812	-77.44675	ADM1	2019-12-30
MH697601.1	MH697601.1	Human adenovirus 7 strain HAdV-B/USA_VA/5682/2017/P7H7F7, complete genome	B	66	7	66	7	7	2017-08-03	2017	US.VA	US	VA	?	?	?	6254928	Virginia	37.54812	-77.44675	ADM1	2019-12-30
MH697602.1	MH697602.1	Human adenovirus 7 strain HAdV-B/USA_VA/5799/2017/P7H7F7, complete genome	B	66	7	66	7	7	2017-08-11	2017	US.VA	US	VA	?	?	?	6254928	Virginia	37.54812	-77.44675	ADM1	2019-12-30
MH697603.1	MH697603.1	Human adenovirus 7 strain HAdV-B/USA_VA/1403/2017/P7H7F7, complete genome	B	66	7	66	7	7	2017-07-25	2017	US.VA	US	VA	?	?	?	6254928	Virginia	37.54812	-77.44675	ADM1	2019-12-30
MH697604.1	MH697604.1	Human adenovirus 7 strain HAdV-B/USA_VA/1404/2017/P7H7F7, complete genome	B	66	7	66	7	7	2017-07-30	2017	US.VA	US	VA	?	?	?	6254928	Virginia	37.54812	-77.44675	ADM1	2019-12-30
MH697605.1	MH697605.1	Human adenovirus 7 strain HAdV-B/USA_VA/5677/2017/P7H7F7, complete genome	B	66	7	66	7	7	2017-08-02	2017	US.VA	US	VA	?	?	?	6254928	Virginia	37.54812	-77.44675	ADM1	2019-12-30
MH697606.1	MH697606.1	Human adenovirus 7 strain HAdV-B/USA_VA/5801/2017/P7H7F7, complete genome	B	66	7	66	7	7	2017-08-09	2017	US.VA	US	VA	?	?	?	6254928	Virginia	37.54812	-77.44675	ADM1	2019-12-30
MH697607.1	MH697607.1	Human adenovirus 7 strain HAdV-B/USA_PA/5803/2017/P7H7F7, complete genome	B	66	7	66	7	7	2017-08-10	2017	US.PA	US	PA	?	?	?	6254927	Pennsylvania	40.8	-77.7	ADM1	2020-06-12
MH910663.1	MH910663.1	Human adenovirus 7 strain HAdV-B/USA/750/1997, complete genome	B	66	7	66	7	7	1997-01-01	1997	US.IL	US	IL	?	?	?	4896861	Illinois	40.00032	-89.25037	ADM1	2019-12-30
MH910664.1	MH910664.1	Human adenovirus 7 strain HAdV-B/USA/25-625/1997, complete genome	B	66	7	66	7	7	1997-01-01	1997	US.IL	US	IL	?	?	?	4896861	Illinois	40.00032	-89.25037	ADM1	2019-12-30
MH910665.1	MH910665.1	Human adenovirus 7 strain HAdV-B/USA/8010/1998, complete genome	B	66	66	66	7	3	1998-01-01	1998	US.TX	US	TX	?	?	?	4736286	Texas	31.25044	-99.25061	ADM1	2019-12-30
MH910666.1	MH910666.1	Human adenovirus 7 strain HAdV-B/USA/V9368/1996, complete genome	B	66	7	66	7	7	1996-01-01	1996	US.GA	US	GA	?	?	?	4197000	Georgia	32.75042	-83.50018	ADM1	2019-12-30
MH910667.1	MH910667.1	Human adenovirus 7 strain HAdV-B/USA/R081586/1999, complete genome	B	66	7	66	7	7	1999-01-01	1999	US.NY	US	NY	?	?	?	5128638	New York	43.00035	-75.4999	ADM1	2019-12-27
MH910668.1	MH910668.1	Human adenovirus 7 strain HAdV-B/USA/6866/1997, complete genome	B	66	7	66	7	7	1997-01-01	1997	US.SC	US	SC	?	?	?	4597040	South Carolina	34.00043	-81.00009	ADM1	2019-12-30
MH910669.1	MH910669.1	Human adenovirus 7 strain HAdV-B/USA/55142/1960s, complete genome	B	66	7	7	7	7	?	?	US.00	US	00	?	?	?	6252001	United States	39.76	-98.5	PCLI	2020-03-29
MK041225.1	MK041225.1	Human mastadenovirus C isolate human/Gansu-CHN/1111872/2015, complete genome	C	1	57	1	1	1	2015-05-02	2015	CN.15	CN	15	?	?	?	1810676	Gansu Sheng	37.75	102.75	ADM1	2016-05-16
MK041226.1	MK041226.1	Human mastadenovirus C isolate human/Shanxi-CHN/122/2012, complete genome	C	89	2	89	2	2	2012-05-02	2012	CN.24	CN	24	?	?	?	1795912	Shanxi Sheng	37.66667	112.25	ADM1	2016-05-16
MK041227.1	MK041227.1	Human mastadenovirus C isolate human/Shanxi-CHN/106/2010, complete genome	C	1	104	6	1	1	2010-03-26	2010	CN.24	CN	24	?	?	?	1795912	Shanxi Sheng	37.66667	112.25	ADM1	2016-05-16
MK041228.1	MK041228.1	Human mastadenovirus C isolate human/Xizang-CHN/150/2015, complete genome	C	5	89	5	5	5	2015-01-01	2015	CN.14	CN	14	?	?	?	1279685	Tibet Autonomous Region	31.66667	88	ADM1	2018-10-02
MK041230.1	MK041230.1	Human mastadenovirus C isolate human/Shanxi-CHN/160/2001, complete genome	C	89	6	89	2	2	2001-06-19	2001	CN.24	CN	24	?	?	?	1795912	Shanxi Sheng	37.66667	112.25	ADM1	2016-05-16
MK041231.1	MK041231.1	Human mastadenovirus C isolate human/Shanxi-CHN/141/2000, complete genome	C	2	2	1	2	2	2000-07-12	2000	CN.24	CN	24	?	?	?	1795912	Shanxi Sheng	37.66667	112.25	ADM1	2016-05-16
MK041232.1	MK041232.1	Human mastadenovirus C isolate human/Shanxi-CHN/154/2003, complete genome	C	104	2	6	1	1	2003-06-23	2003	CN.24	CN	24	?	?	?	1795912	Shanxi Sheng	37.66667	112.25	ADM1	2016-05-16
MK041233.1	MK041233.1	Human mastadenovirus C isolate human/Changchun-CHN/114/2013, complete genome	C	57	2	5	57	6	2013-03-16	2013	CN.05.2201	CN	05	2201	?	?	2038176	Changchun Shi	44.38278	125.73194	ADM2	2018-12-06
MK041234.1	MK041234.1	Human mastadenovirus C isolate human/Shanxi-CHN/22/2002, complete genome	C	5	5	89	5	5	2002-01-19	2002	CN.24	CN	24	?	?	?	1795912	Shanxi Sheng	37.66667	112.25	ADM1	2016-05-16
MK041235.1	MK041235.1	Human mastadenovirus C isolate human/Shanxi-CHN/135/2001, complete genome	C	5	2	6	5	5	2001-06-11	2001	CN.24	CN	24	?	?	?	1795912	Shanxi Sheng	37.66667	112.25	ADM1	2016-05-16
MK041236.1	MK041236.1	Human mastadenovirus C isolate human/Xizang-CHN/55/2015, complete genome	C	2	89	2	2	2	2015-01-01	2015	CN.14	CN	14	?	?	?	1279685	Tibet Autonomous Region	31.66667	88	ADM1	2018-10-02
MK041237.1	MK041237.1	Human mastadenovirus C isolate human/Shanxi-CHN/38/2007, complete genome	C	5	104	6	5	5	2007-03-15	2007	CN.24	CN	24	?	?	?	1795912	Shanxi Sheng	37.66667	112.25	ADM1	2016-05-16
MK041238.1	MK041238.1	Human mastadenovirus C isolate human/Shaanxi-CHN/12045/2012, complete genome	C	2	2	2	2	2	2012-03-21	2012	CN.26	CN	26	?	?	?	1796480	Shaanxi	36	109	ADM1	2016-05-16
MK041239.1	MK041239.1	Human mastadenovirus C isolate human/Shanxi-CHN/87/2002, complete genome	C	6	6	6	6	6	2002-04-09	2002	CN.24	CN	24	?	?	?	1795912	Shanxi Sheng	37.66667	112.25	ADM1	2016-05-16
MK041240.1	MK041240.1	Human mastadenovirus C isolate human/Shanxi-CHN/151/2002, complete genome	C	6	2	6	6	6	2002-06-16	2002	CN.24	CN	24	?	?	?	1795912	Shanxi Sheng	37.66667	112.25	ADM1	2016-05-16
MK041241.1	MK041241.1	Human mastadenovirus C isolate human/Shanxi-CHN/105/2000, complete genome	C	5	5	1	5	5	2000-09-03	2000	CN.24	CN	24	?	?	?	1795912	Shanxi Sheng	37.66667	112.25	ADM1	2016-05-16
MK041242.1	MK041242.1	Human mastadenovirus C isolate human/Shanxi-CHN/106/2000, complete genome	C	5	5	1	5	5	2000-01-01	2000	CN.24	CN	24	?	?	?	1795912	Shanxi Sheng	37.66667	112.25	ADM1	2016-05-16
MK041243.1	MK041243.1	Human mastadenovirus C isolate human/Changchun-CHN/255/2013, complete genome	C	2	2	6	2	2	2013-11-27	2013	CN.05.2201	CN	05	2201	?	?	2038176	Changchun Shi	44.38278	125.73194	ADM2	2018-12-06
MK041244.1	MK041244.1	Human mastadenovirus C isolate human/Shanxi-CHN/32/2006, complete genome	C	1	2	89	1	1	2006-03-15	2006	CN.24	CN	24	?	?	?	1795912	Shanxi Sheng	37.66667	112.25	ADM1	2016-05-16
MK041245.1	MK041245.1	Human mastadenovirus C isolate human/Hebei-CHN/6645/2010, complete genome	C	5	2	2	5	5	2010-11-09	2010	CN.10	CN	10	?	?	?	1808773	Hebei Sheng	39	115.66667	ADM1	2016-05-16
MK041246.1	MK041246.1	Human mastadenovirus C isolate human/Hunan-CHN/E177/2012, complete genome	C	1	2	1	1	1	2012-10-24	2012	CN.11	CN	11	?	?	?	1806691	Hunan Sheng	27.66667	111.75	ADM1	2016-05-16
MK116618.1	MK116618.1	Human adenovirus 53 strain USA/2017/CA-RGDS-1004, complete genome	D	85	85	37	22	8	2017-06-30	2017	US.CA.037	US	CA	037	?	?	5368381	Los Angeles County	34.19801	-118.26102	ADM2	2018-04-25
MK123978.1	MK123978.1	Human adenovirus 55 strain 267, complete genome	B	55	55	14	11	14	2018-06-01	2018	CN.00	CN	00	?	?	?	1814991	People’s Republic of China	35	105	PCLI	2020-07-28
MK123979.1	MK123979.1	Human adenovirus 55, complete genome	B	55	55	14	11	14	2011-01-01	2011	CN.00	CN	00	?	?	?	1814991	People’s Republic of China	35	105	PCLI	2020-07-28
MK123980.1	MK123980.1	Human adenovirus 55 strain TY12, complete genome	B	55	55	14	11	14	2013-01-01	2013	CN.00	CN	00	?	?	?	1814991	People’s Republic of China	35	105	PCLI	2020-07-28
MK123981.1	MK123981.1	Human adenovirus 55 strain TY26, complete genome	B	55	55	14	11	14	2013-01-01	2013	CN.00	CN	00	?	?	?	1814991	People’s Republic of China	35	105	PCLI	2020-07-28
MK165452.1	MK165452.1	Human mastadenovirus C isolate SX-2000-140, complete genome	C	2	2	1	2	2	2000-07-05	2000	CN.00	CN	00	?	?	?	1814991	People’s Republic of China	35	105	PCLI	2020-07-28
MK165453.1	MK165453.1	Human mastadenovirus C isolate SX-2004-327, complete genome	C	2	2	1	2	2	2004-12-25	2004	CN.00	CN	00	?	?	?	1814991	People’s Republic of China	35	105	PCLI	2020-07-28
MK174992.1	MK174992.1	Human mastadenovirus D isolate BCCDC/Vancouver/2010, complete genome	D	107	107	102	107	25	2010-08-01	2010	CA.02.5915	CA	02	5915	?	?	5965814	Metro Vancouver Regional District	49.33296	-123.00264	ADM2	2018-02-19
MK357714.1	MK357714.1	Human adenovirus sp. isolate DT-11, complete genome	C	1	57	1	1	1	2017-05-31	2017	CN.00	CN	00	?	?	?	1814991	People’s Republic of China	35	105	PCLI	2020-07-28
MK357715.1	MK357715.1	Human adenovirus sp. isolate DT-4, complete genome	C	2	2	1	2	2	2016-05-05	2016	CN.00	CN	00	?	?	?	1814991	People’s Republic of China	35	105	PCLI	2020-07-28
MK492255.1	MK492255.1	Human adenovirus 7 strain HAdV-B/NW-MM/Illinois/USA/2014/P7H7F7, complete genome	B	66	7	66	7	7	2014-12-01	2014	US.IL	US	IL	?	?	?	4896861	Illinois	40.00032	-89.25037	ADM1	2019-12-30
MK492256.1	MK492256.1	Human adenovirus 7 strain HAdV-B/NW-VM/Illinois/USA/2014/P7H7F7, complete genome	B	66	7	66	7	7	2014-12-01	2014	US.IL	US	IL	?	?	?	4896861	Illinois	40.00032	-89.25037	ADM1	2019-12-30
MK492257.1	MK492257.1	Human adenovirus 7 strain HAdV-B/NW-14993/Illinois/USA/2017/P7H7F7, complete genome	B	66	7	66	7	7	2017-02-01	2017	US.IL	US	IL	?	?	?	4896861	Illinois	40.00032	-89.25037	ADM1	2019-12-30
MK501726.1	MK501726.1	Human mastadenovirus D strain HAdV-D/USA_New York/53476/2018/P37H22F8, complete genome	D	85	85	37	22	8	2018-01-01	2018	US.00	US	00	?	?	?	6252001	United States	39.76	-98.5	PCLI	2020-03-29
MK568769.1	MK568769.1	Human mastadenovirus B strain HAdV-B14/California_NHRC_25783_2011_P14H14F14, complete genome	B	14	14	14	14	14	2011-01-01	2011	US.CA	US	CA	?	?	?	5332921	California	37.25022	-119.75126	ADM1	2019-12-30
MK568770.1	MK568770.1	Human mastadenovirus B strain HAdV-B14/California_NHRC_25826_2011_P14H14F14, complete genome	B	14	14	14	14	14	2011-01-01	2011	US.CA	US	CA	?	?	?	5332921	California	37.25022	-119.75126	ADM1	2019-12-30
MK568771.1	MK568771.1	Human mastadenovirus B strain HAdV-B14/California_NHRC_25830_2011_P14H14F14, complete genome	B	14	14	14	14	14	2011-01-01	2011	US.CA	US	CA	?	?	?	5332921	California	37.25022	-119.75126	ADM1	2019-12-30
MK568772.1	MK568772.1	Human mastadenovirus B strain HAdV-B14/California_NHRC_29872_2011_P14H14F14, complete genome	B	14	14	14	14	14	2011-01-01	2011	US.CA	US	CA	?	?	?	5332921	California	37.25022	-119.75126	ADM1	2019-12-30
MK570618.1	MK570618.1	UNVERIFIED: Human adenovirus sp. isolate M32/TS/CHN/2019, complete genome	B	66	7	66	7	7	2019-02-16	2019	CN.00	CN	00	?	?	?	1814991	People’s Republic of China	35	105	PCLI	2020-07-28
MK570619.1	MK570619.1	UNVERIFIED: Human adenovirus sp. isolate S179/TS/CHN/2019, complete genome	B	66	7	66	7	7	2019-02-16	2019	CN.00	CN	00	?	?	?	1814991	People’s Republic of China	35	105	PCLI	2020-07-28
MK805085.1	MK805085.1	Human mastadenovirus C isolate Human/China/Shanghai/673/P1H1F1/2009, complete genome	C	1	2	1	1	1	2009-06-30	2009	CN.23	CN	23	?	?	?	1796231	Shanghai Shi	31.16667	121.41667	ADM1	2020-05-28
MK809510.1	MK809510.1	UNVERIFIED: Human mastadenovirus B isolate Human/China/Shanghai/190/P7H7F7/2009, complete genome	B	66	7	66	7	7	2009-06-12	2009	CN.23	CN	23	?	?	?	1796231	Shanghai Shi	31.16667	121.41667	ADM1	2020-05-28
MK813914.1	MK813914.1	Human mastadenovirus B isolate human/China/Shanghai/381/2004/3[P3H3F3], complete genome	B	3	3	3	3	3	2009-06-19	2009	CN.23	CN	23	?	?	?	1796231	Shanghai Shi	31.16667	121.41667	ADM1	2020-05-28
MK813915.1	MK813915.1	Human mastadenovirus B isolate human/China/Shanghai/538/2009/3[P3H3F3], complete genome	B	3	3	3	3	3	2009-06-26	2009	CN.23	CN	23	?	?	?	1796231	Shanghai Shi	31.16667	121.41667	ADM1	2020-05-28
MK836308.1	MK836308.1	Human mastadenovirus B isolate human/China/Shanghai/678/2009/3[P3H3F3], complete genome	B	3	3	3	3	3	2009-06-30	2009	CN.23	CN	23	?	?	?	1796231	Shanghai Shi	31.16667	121.41667	ADM1	2020-05-28
MK836309.1	MK836309.1	Human mastadenovirus C isolate Human/China/Shanghai/793/P2H2F2/2/2009, complete genome	C	2	5	1	2	2	2009-07-03	2009	CN.23	CN	23	?	?	?	1796231	Shanghai Shi	31.16667	121.41667	ADM1	2020-05-28
MK836310.1	MK836310.1	Human mastadenovirus B isolate human/China/Shanghai/1631/2009/3[P3H3F3], complete genome	B	3	3	3	3	3	2009-10-30	2009	CN.23	CN	23	?	?	?	1796231	Shanghai Shi	31.16667	121.41667	ADM1	2020-05-28
MK836311.1	MK836311.1	Human mastadenovirus B isolate Human/China/Shanghai/3096/2009/3[P3H3F3], complete genome	B	3	3	3	3	3	2009-12-24	2009	CN.23	CN	23	?	?	?	1796231	Shanghai Shi	31.16667	121.41667	ADM1	2020-05-28
MK836312.1	MK836312.1	Human mastadenovirus B isolate Human/China/Shanghai/3418/2011/7[P7H7F7], complete genome	B	66	7	66	7	7	2011-04-22	2011	CN.23	CN	23	?	?	?	1796231	Shanghai Shi	31.16667	121.41667	ADM1	2020-05-28
MK836313.1	MK836313.1	Human mastadenovirus B isolate human/China/Shanghai/3426/2011/7[P7H7F7], complete genome	B	66	7	66	7	7	2011-04-26	2011	CN.23	CN	23	?	?	?	1796231	Shanghai Shi	31.16667	121.41667	ADM1	2020-05-28
MK847516.1	MK847516.1	UNVERIFIED: Human mastadenovirus B isolate Human/Shanghai/Shanghai/3447/2011/7[P7H7F7], complete genome	B	66	7	66	7	7	2011-06-28	2011	CN.23	CN	23	?	?	?	1796231	Shanghai Shi	31.16667	121.41667	ADM1	2020-05-28
MK847517.1	MK847517.1	Human mastadenovirus B isolate Human/China/Shanghai/3496/3[P3H3F3]/2009, complete genome	B	3	3	3	3	3	2011-08-12	2011	CN.23	CN	23	?	?	?	1796231	Shanghai Shi	31.16667	121.41667	ADM1	2020-05-28
MK883603.1	MK883603.1	Human mastadenovirus B isolate Human/China/Shanghai/3517/2011/3[P3H3F3], complete genome	B	3	3	3	3	3	2011-08-12	2011	CN.23	CN	23	?	?	?	1796231	Shanghai Shi	31.16667	121.41667	ADM1	2020-05-28
MK883604.1	MK883604.1	Human mastadenovirus B isolate Human/China/Shanghai/3754/2011/3[P3H3F3], complete genome	B	3	3	3	3	3	2011-10-25	2011	CN.23	CN	23	?	?	?	1796231	Shanghai Shi	31.16667	121.41667	ADM1	2020-05-28
MK883605.1	MK883605.1	Human mastadenovirus C isolate Human/China/Shanghai/3759/2011/2[P1H2F2], complete genome	C	2	2	1	2	2	2011-10-25	2011	CN.23	CN	23	?	?	?	1796231	Shanghai Shi	31.16667	121.41667	ADM1	2020-05-28
MK883606.1	MK883606.1	Human mastadenovirus B isolate Human/China/Shanghai/3961/2012/55[P14H11F14], complete genome	B	55	55	14	11	14	2012-02-28	2012	CN.23	CN	23	?	?	?	1796231	Shanghai Shi	31.16667	121.41667	ADM1	2020-05-28
MK883607.1	MK883607.1	Human mastadenovirus C isolate Human/China/Shanghai/3987/2012/2[P1H2F2], complete genome	C	89	2	1	2	2	2012-03-09	2012	CN.23	CN	23	?	?	?	1796231	Shanghai Shi	31.16667	121.41667	ADM1	2020-05-28
MK883608.1	MK883608.1	Human mastadenovirus B isolate Human/China/Shanghai/4010/2012/3[P3H3F3], complete genome	B	3	3	3	3	3	2012-03-13	2012	CN.23	CN	23	?	?	?	1796231	Shanghai Shi	31.16667	121.41667	ADM1	2020-05-28
MK883609.1	MK883609.1	Human mastadenovirus B isolate Human/China/Shanghai/4746/2013/7[P7H7F7], complete genome	B	66	7	66	7	7	2013-04-07	2013	CN.23	CN	23	?	?	?	1796231	Shanghai Shi	31.16667	121.41667	ADM1	2020-05-28
MK883610.1	MK883610.1	Human mastadenovirus F isolate Human/China/Shanghai/FX1-152772/2015/41, complete genome	F	41	41	41	41	41	2015-05-14	2015	CN.23	CN	23	?	?	?	1796231	Shanghai Shi	31.16667	121.41667	ADM1	2020-05-28
MK883611.1	MK883611.1	Human mastadenovirus F isolate Human/China/Shanghai/FX3-1613263/F40, complete genome	F	40	40	40	40	40	2016-03-03	2016	CN.23	CN	23	?	?	?	1796231	Shanghai Shi	31.16667	121.41667	ADM1	2020-05-28
MK883612.1	MK883612.1	Human mastadenovirus B isolate Human/China/Shanghai/6138/7/2014[P7H7F7], complete genome	B	66	7	66	7	7	2014-01-13	2014	CN.23	CN	23	?	?	?	1796231	Shanghai Shi	31.16667	121.41667	ADM1	2020-05-28
MK886831.1	MK886831.1	Human adenovirus 55 isolate HAdV-B55/CHN/BJDX01/2015, complete genome	B	55	55	14	11	14	2015-08-31	2015	CN.00	CN	00	?	?	?	1814991	People’s Republic of China	35	105	PCLI	2020-07-28
MK888693.1	MK888693.1	UNVERIFIED: Human mastadenovirus C isolate Human/China/Shanghai/6259/2014/2[P1H2F2], complete genome	C	2	2	1	2	2	2014-03-06	2014	CN.23	CN	23	?	?	?	1796231	Shanghai Shi	31.16667	121.41667	ADM1	2020-05-28
MK896857.1	MK896857.1	Human mastadenovirus B isolate Human/China/Shanghai/8473/2016/7[P7H7F7], complete genome	B	66	7	66	7	7	2016-01-15	2016	CN.23	CN	23	?	?	?	1796231	Shanghai Shi	31.16667	121.41667	ADM1	2020-05-28
MK896858.1	MK896858.1	Human mastadenovirus C isolate Human/China/Shanghai/8694/2016/2[P1H1F1], complete genome	C	2	5	1	2	2	2016-03-07	2016	CN.23	CN	23	?	?	?	1796231	Shanghai Shi	31.16667	121.41667	ADM1	2020-05-28
MK905735.1	MK905735.1	Human mastadenovirus C isolate Human/China/Shanghai/5657/2013/2[P1H2F2], complete genome	C	2	2	1	2	2	2013-08-09	2013	CN.23	CN	23	?	?	?	1796231	Shanghai Shi	31.16667	121.41667	ADM1	2020-05-28
MK962806.1	MK962806.1	Human mastadenovirus F strain SA13026, complete genome	F	41	41	41	41	41	?	?	ZA.00	ZA	00	?	?	?	953987	Republic of South Africa	-29	24	PCLI	2020-03-29
MK962807.1	MK962807.1	Human mastadenovirus F strain SA6749, complete genome	F	41	41	41	41	41	?	?	ZA.00	ZA	00	?	?	?	953987	Republic of South Africa	-29	24	PCLI	2020-03-29
MK962810.1	MK962810.1	Human mastadenovirus F strain SA12680, complete genome	F	41	41	41	41	41	?	?	ZA.00	ZA	00	?	?	?	953987	Republic of South Africa	-29	24	PCLI	2020-03-29
MN011575.1	MN011575.1	Human mastadenovirus B isolate SH6220, complete genome	B	66	7	66	7	7	2014-02-10	2014	CN.00	CN	00	?	?	?	1814991	People’s Republic of China	35	105	PCLI	2020-07-28
MN052861.1	MN052861.1	Human adenovirus 55, complete genome	B	55	55	14	11	14	2018-04-26	2018	CN.00	CN	00	?	?	?	1814991	People’s Republic of China	35	105	PCLI	2020-07-28
MN088492.1	MN088492.1	Human mastadenovirus C isolate GD4163, partial genome	C	2	5	2	2	2	2017-05-10	2017	CN.00	CN	00	?	?	?	1814991	People’s Republic of China	35	105	PCLI	2020-07-28
MN135993.1	MN135993.1	Human adenovirus 7 strain 163, complete genome	B	66	7	66	7	7	2018-01-01	2018	CN.00	CN	00	?	?	?	1814991	People’s Republic of China	35	105	PCLI	2020-07-28
MN164629.1	MN164629.1	Human adenovirus 7 isolate A549, complete genome	B	66	7	66	7	7	2018-01-01	2018	CN.00	CN	00	?	?	?	1814991	People’s Republic of China	35	105	PCLI	2020-07-28
MN307146.1	MN307146.1	Human adenovirus 7 strain HAdV-B/USA_MD/9631/2018/P7H7F7, complete genome	B	66	7	66	7	7	2018-10-29	2018	US.MD	US	MD	?	?	?	4361885	Maryland	39.00039	-76.74997	ADM1	2019-12-30
MN307147.1	MN307147.1	Human adenovirus 7 strain HAdV-B/USA_MD/9630/2018/P7H7F7, complete genome	B	66	7	66	7	7	2018-11-15	2018	US.MD	US	MD	?	?	?	4361885	Maryland	39.00039	-76.74997	ADM1	2019-12-30
MN307148.1	MN307148.1	Human adenovirus 7 strain HAdV-B/USA_MD/6201/2018/P7H7F7, complete genome	B	66	7	66	7	7	2018-11-30	2018	US.MD	US	MD	?	?	?	4361885	Maryland	39.00039	-76.74997	ADM1	2019-12-30
MN307149.1	MN307149.1	Human adenovirus 7 strain HAdV-B/USA_PA/9761/2018/P7H7F7, complete genome	B	66	7	66	7	7	2018-10-06	2018	US.PA	US	PA	?	?	?	6254927	Pennsylvania	40.8	-77.7	ADM1	2020-06-12
MN307150.1	MN307150.1	Human adenovirus 7 strain HAdV-B/USA_PA/7575/2018/P7H7F7, complete genome	B	66	7	66	7	7	2018-11-28	2018	US.PA	US	PA	?	?	?	6254927	Pennsylvania	40.8	-77.7	ADM1	2020-06-12
MN307151.1	MN307151.1	Human adenovirus 7 strain HAdV-B/USA_PA/7599/2018/P7H7F7, complete genome	B	66	7	66	7	7	2018-12-14	2018	US.PA	US	PA	?	?	?	6254927	Pennsylvania	40.8	-77.7	ADM1	2020-06-12
MN307152.1	MN307152.1	Human adenovirus 7 strain HAdV-B/USA_PA/7605/2018/P7H7F7, complete genome	B	66	7	66	7	7	2018-12-17	2018	US.PA	US	PA	?	?	?	6254927	Pennsylvania	40.8	-77.7	ADM1	2020-06-12
MN307153.1	MN307153.1	Human adenovirus 7 strain HAdV-B/USA_MI/6118/2019/P7H7F7, complete genome	B	66	7	66	7	7	2019-03-13	2019	US.MI	US	MI	?	?	?	5001836	Michigan	44.25029	-85.50033	ADM1	2019-12-30
MN307154.1	MN307154.1	Human adenovirus 7 strain HAdV-B/USA_MI/8596/2019/P7H7F7, complete genome	B	66	7	66	7	7	2019-04-03	2019	US.MI	US	MI	?	?	?	5001836	Michigan	44.25029	-85.50033	ADM1	2019-12-30
